InvoiceNo,SKU,Quantity,InvoiceDate,Country
539639,20932,1,01/01/2021,14083_Australia
539659,22677,20,02/01/2021,15034_Australia
540027,84849B,12,16/01/2021,14210_Australia
540094,21672,12,16/01/2021,14221_Australia
540247,22637,3,17/01/2021,15464_Australia
540260,21232,12,18/01/2021,13097_Australia
540372,90057,24,18/01/2021,13081_Australia
540464,21272,12,19/01/2021,14298_Australia
540489,21340,2,19/01/2021,13593_Australia
540907,22858,6,24/01/2021,13488_Australia
540907,21672,12,24/01/2021,13488_Australia
541014,46000M,2,25/01/2021,14085_Australia
541094,22858,2,25/01/2021,13246_Australia
541126,21115,2,26/01/2021,15626_Australia
541275,21232,12,29/01/2021,14176_Australia
541371,22858,6,29/01/2021,13983_Australia
541400,21340,40,29/01/2021,13929_Australia
541435,21232,12,30/01/2021,13898_Australia
541684,21272,12,01/02/2021,15498_Australia
541850,84673B,1,04/02/2021,14224_Australia
541855,21781,1,04/02/2021,13742_Australia
541880,20719,20,05/02/2021,13819_Australia
541987,21135,8,05/02/2021,14130_Australia
542000,21232,12,06/02/2021,14257_Australia
542100,46000R,2,06/02/2021,15339_Australia
542147,35810B,6,07/02/2021,12782_Australia
542277,21135,8,08/02/2021,14440_Australia
542401,22693,24,08/02/2021,14541_Australia
542534,85034B,4,09/02/2021,13707_Australia
542607,22795,2,11/02/2021,13148_Australia
542728,21232,72,12/02/2021,14006_Australia
542777,21232,24,13/02/2021,14911_Australia
542901,21781,1,13/02/2021,14217_Australia
542932,21340,2,14/02/2021,13089_Australia
542989,22641,12,14/02/2021,15226_Australia
543015,22663,20,14/02/2021,14188_Australia
543107,22858,6,15/02/2021,13800_Australia
543122,20719,40,15/02/2021,13819_Australia
543166,22795,4,16/02/2021,13488_Australia
543196,21380,6,16/02/2021,13309_Australia
543350,21340,3,19/02/2021,13809_Australia
543371,20932,1,19/02/2021,14048_Australia
543391,46000R,6,20/02/2021,14475_Australia
543458,21232,4,20/02/2021,14587_Australia
543652,22637,4,23/02/2021,15544_Australia
543802,21781,2,25/02/2021,13742_Australia
543828,22677,10,26/02/2021,14156_Australia
544035,22795,4,27/02/2021,13893_Australia
544037,21115,2,27/02/2021,14961_Australia
544074,22089,3,27/02/2021,14156_Australia
544075,22932,96,27/02/2021,14156_Australia
544159,21340,2,28/02/2021,14944_Australia
544165,84849B,12,28/02/2021,14210_Australia
544295,21672,12,01/03/2021,14298_Australia
544336,22858,1,01/03/2021,13230_Australia
544341,21232,12,02/03/2021,13012_Australia
544398,21672,6,02/03/2021,15311_Australia
544444,20719,100,04/03/2021,13246_Australia
544461,22677,20,04/03/2021,13744_Australia
544572,21672,36,05/03/2021,14639_Australia
544749,21115,1,07/03/2021,15373_Australia
544937,22663,10,09/03/2021,12839_Australia
545036,22794,2,09/03/2021,14573_Australia
545059,22081,1,11/03/2021,14157_Australia
545324,21340,2,13/03/2021,13110_Australia
545408,23194,8,14/03/2021,15067_Australia
545423,22794,2,14/03/2021,15643_Australia
545429,22794,1,14/03/2021,15031_Australia
545559,22663,2,15/03/2021,15005_Australia
545573,22858,6,15/03/2021,15393_Australia
545575,21259,4,15/03/2021,13014_Australia
545658,22858,2,16/03/2021,14670_Australia
545661,22932,6,16/03/2021,15358_Australia
545690,22089,1,18/03/2021,13263_Australia
545838,21577,1,19/03/2021,14606_Australia
545872,46000R,2,19/03/2021,15752_Australia
545978,84997A,3,20/03/2021,13975_Australia
545978,21232,4,20/03/2021,13975_Australia
545993,21232,60,20/03/2021,13777_Australia
545999,21135,16,20/03/2021,13089_Australia
546001,21340,8,20/03/2021,13854_Australia
546115,21380,6,21/03/2021,15379_Australia
546133,23194,8,21/03/2021,14291_Australia
546158,23194,8,22/03/2021,13899_Australia
546378,22858,6,23/03/2021,14329_Australia
546417,20996,24,25/03/2021,14800_Australia
546563,23194,8,27/03/2021,15047_Australia
546569,22858,6,27/03/2021,14016_Australia
546734,22932,96,28/03/2021,16029_Australia
546751,21259,2,28/03/2021,13668_Australia
546986,21259,2,30/03/2021,14194_Australia
547017,46776B,2,30/03/2021,13468_Australia
547028,84750A,24,01/04/2021,13593_Australia
547035,22693,24,01/04/2021,13911_Australia
547063,46000M,3,01/04/2021,14769_Australia
547093,22619,4,02/04/2021,14762_Australia
547094,22231,24,02/04/2021,13934_Australia
547866,23077,24,08/04/2021,14878_Australia
547877,21672,2,08/04/2021,14573_Australia
547884,22693,24,09/04/2021,13481_Australia
547897,22858,6,09/04/2021,12792_Australia
547910,22663,2,09/04/2021,14159_Australia
548011,20719,200,10/04/2021,14646_Australia
548176,21644,4,10/04/2021,13439_Australia
548388,21232,4,11/04/2021,13268_Australia
548491,10125,1,12/04/2021,14064_Australia
548533,21232,24,12/04/2021,13883_Australia
548612,21672,4,13/04/2021,13137_Australia
548636,21232,12,13/04/2021,15601_Australia
